"--Please Select--","--Please Select--"
"3D-Secure: Redirecting customer to a verification page.","3D-Secure: Redirecting customer to a verification page."
"ABN iDEAL","ABN iDEAL"
"Authorize","Authorize"
"Authorize (3D-Secure)","Authorize (3D-Secure)"
"Card Verification Number","Card Verification Number"
"CashU","CashU"
"Click here, if you are not redirected within 10 seconds...","Click here, if you are not redirected within 10 seconds..."
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Expiration Date","Expiration Date"
"GiroPay","GiroPay"
"Magento Payment","Magento Payment"
"Month","Month"
"More details about the individual transactions can be found under the ""Transactions"" section","More details about the individual transactions can be found under the ""Transactions"" section"
"Name on Card","Name on Card"
"Neteller","Neteller"
"No","No"
"PaySafeCard","PaySafeCard"
"Przelewy24","Przelewy24"
"Qiwi","Qiwi"
"SOFORT","SOFORT"
"SafetyPay","SafetyPay"
"Sale","Sale"
"Sale (3D-Secure)","Sale (3D-Secure)"
"TeleIngreso","TeleIngreso"
"TrustPay","TrustPay"
"We were unable to process your payment! Please check your input or try again later.","We were unable to process your payment! Please check your input or try again later."
"What is this?","What is this?"
"Year","Year"
"Yes","Yes"
"You are being redirected to a secure page, where you can complete your payment!","You are being redirected to a secure page, where you can complete your payment!"
"You are being redirected!","You are being redirected!"
"You will be redirected to our partner's website, where you can safely pay with your credit card.","You will be redirected to our partner's website, where you can safely pay with your credit card."
"Your payment session has been cancelled successfully!","Your payment session has been cancelled successfully!"
"eps","eps"
